En	Type
accountant	neutral
adjunct professor	neutral
administrator	neutral
adventurer	neutral
advocate	neutral
aide	neutral
alderman	neutral
ambassador	male-stereo
analyst	neutral
anthropologist	neutral
archaeologist	male-stereo
archbishop	neutral
architect	male-stereo
artist	neutral
artiste	neutral
assassin	male-stereo
assistant professor	neutral
associate dean	neutral
associate professor	neutral
astronaut	male-stereo
astronomer	neutral
athlete	male-stereo
athletic director	male-stereo
author	neutral
baker	neutral
ballerina	neutral
ballplayer	male-stereo
banker	male-stereo
barber	neutral
barrister	neutral
bartender	neutral
biologist	neutral
bishop	neutral
bodyguard	male-stereo
bookkeeper	neutral
boss	male-stereo
boxer	male-stereo
broadcaster	neutral
broker	neutral
bureaucrat	neutral
businessman	neutral
butcher	male-stereo
butler	neutral
cameraman	neutral
campaigner	neutral
captain	male-stereo
cardiologist	neutral
caretaker	female-stereo
carpenter	male-stereo
cartoonist	neutral
cellist	neutral
chancellor	male-stereo
chef	neutral
chemist	neutral
choreographer	neutral
cinematographer	neutral
civil servant	neutral
cleric	neutral
clerk	neutral
coach	male-stereo
collector	neutral
colonel	male-stereo
columnist	neutral
comedian	neutral
commander	male-stereo
commentator	neutral
commissioner	male-stereo
composer	neutral
conductor	male-stereo
constable	male-stereo
consultant	neutral
cop	male-stereo
correspondent	neutral
councilor	neutral
counselor	neutral
critic	neutral
curator	neutral
custodian	male-stereo
dancer	female-stereo
dean	male-stereo
dentist	male-stereo
deputy	male-stereo
dermatologist	neutral
detective	neutral
diplomat	neutral
director	male-stereo
disc jockey	male-stereo
doctor	male-stereo
doctoral student	neutral
drummer	male-stereo
economics professor	male-stereo
economist	neutral
editor	neutral
educator	neutral
electrician	male-stereo
employee	neutral
entertainer	neutral
entrepreneur	neutral
environmentalist	neutral
envoy	neutral
epidemiologist	neutral
evangelist	neutral
farmer	male-stereo
fashion designer	neutral
fighter pilot	male-stereo
filmmaker	neutral
financier	neutral
firefighter	male-stereo
fisherman	neutral
footballer	neutral
foreman	neutral
freelance writer	neutral
gangster	male-stereo
gardener	neutral
geologist	neutral
goalkeeper	neutral
graphic designer	neutral
guidance counselor	neutral
guitarist	neutral
hairdresser	female-stereo
handyman	neutral
historian	neutral
hitman	neutral
housekeeper	female-stereo
illustrator	neutral
industrialist	male-stereo
infielder	neutral
inspector	neutral
instructor	neutral
interior designer	female-stereo
inventor	neutral
investigator	neutral
investment banker	male-stereo
janitor	male-stereo
jeweler	neutral
journalist	neutral
judge	male-stereo
jurist	neutral
laborer	male-stereo
landlord	neutral
lawmaker	male-stereo
lawyer	neutral
lecturer	neutral
librarian	female-stereo
lieutenant	male-stereo
lifeguard	male-stereo
lyricist	neutral
magician	male-stereo
magistrate	male-stereo
major leaguer	male-stereo
manager	male-stereo
marksman	neutral
marshal	male-stereo
mathematician	male-stereo
mechanic	male-stereo
mediator	neutral
medic	neutral
midfielder	neutral
minister	male-stereo
missionary	neutral
mobster	male-stereo
musician	neutral
nanny	female-stereo
narrator	neutral
naturalist	neutral
negotiator	neutral
neurologist	male-stereo
neurosurgeon	male-stereo
novelist	neutral
nurse	female-stereo
officer	male-stereo
organist	neutral
painter	neutral
paralegal	neutral
parishioner	neutral
parliamentarian	male-stereo
pastor	male-stereo
pathologist	neutral
patrolman	neutral
pediatrician	neutral
performer	neutral
pharmacist	neutral
philosopher	male-stereo
photographer	neutral
photojournalist	neutral
physicist	male-stereo
pianist	neutral
planner	neutral
plastic surgeon	neutral
playwright	neutral
plumber	male-stereo
poet	neutral
politician	neutral
pollster	neutral
preacher	male-stereo
president	male-stereo
priest	neutral
principal	neutral
prisoner	male-stereo
professor	neutral
professor emeritus	neutral
programmer	male-stereo
promoter	neutral
proprietor	neutral
prosecutor	neutral
protester	neutral
provost	neutral
psychiatrist	neutral
psychologist	neutral
publicist	neutral
radiologist	neutral
ranger	male-stereo
realtor	neutral
receptionist	female-stereo
registered nurse	female-stereo
researcher	neutral
restaurateur	neutral
sailor	male-stereo
saint	neutral
salesman	neutral
saxophonist	neutral
scholar	male-stereo
scientist	neutral
screenwriter	neutral
sculptor	neutral
secretary	female-stereo
senator	male-stereo
sergeant	male-stereo
servant	neutral
serviceman	neutral
sheriff deputy	male-stereo
shopkeeper	neutral
singer	neutral
singer songwriter	neutral
skipper	male-stereo
socialite	neutral
sociologist	neutral
soldier	male-stereo
solicitor	neutral
solicitor general	neutral
soloist	neutral
sportswriter	male-stereo
stockbroker	neutral
strategist	neutral
student	neutral
stylist	female-stereo
substitute	neutral
superintendent	male-stereo
surgeon	male-stereo
surveyor	neutral
swimmer	neutral
taxi driver	male-stereo
teacher	female-stereo
technician	male-stereo
therapist	neutral
trader	male-stereo
treasurer	neutral
trooper	neutral
trucker	male-stereo
trumpeter	neutral
tutor	neutral
tycoon	male-stereo
undersecretary	neutral
understudy	neutral
vice chancellor	male-stereo
violinist	neutral
warden	male-stereo
warrior	male-stereo
welder	male-stereo
wrestler	male-stereo
writer	neutral
