En	Ja	Type
accountant	会計士	neutral
adjunct_professor	非常勤教授	neutral
administrator	管理者	neutral
adventurer	冒険家	neutral
advocate	擁護者	neutral
aide	補佐官	neutral
alderman	市会議員	neutral
ambassador	大使	male-stereo
analyst	アナリスト	neutral
anthropologist	人類学者	neutral
archaeologist	考古学者	male-stereo
archbishop	大司教	neutral
architect	建築家	male-stereo
artist	芸術家	neutral
artiste	芸能人	neutral
assassin	暗殺者	male-stereo
assistant_professor	助教授	neutral
associate_dean	副学部長	neutral
associate_professor	准教授	neutral
astronaut	宇宙飛行士	male-stereo
astronomer	天文学者	neutral
athlete	アスリート	male-stereo
athletic_director	スポーツディレクター	male-stereo
author	著者	neutral
baker	パン屋	neutral
ballerina	バレリーナ	neutral
ballplayer	野球選手	male-stereo
banker	銀行家	male-stereo
barber	理容師	neutral
barrister	法廷弁護士	neutral
bartender	バーテンダー	neutral
biologist	生物学者	neutral
bishop	司教	neutral
bodyguard	ボディーガード	male-stereo
bookkeeper	簿記係	neutral
boss	ボス	male-stereo
boxer	ボクサー	male-stereo
broadcaster	放送者	neutral
broker	仲買人	neutral
bureaucrat	官僚	neutral
businessman	実業者	neutral
butcher	肉屋	male-stereo
butler	執事	neutral
cameraman	カメラマン	neutral
campaigner	運動家	neutral
captain	船長	male-stereo
cardiologist	心臓専門医	neutral
caretaker	管理人	female-stereo
carpenter	大工	male-stereo
cartoonist	漫画家	neutral
cellist	チェロ奏者	neutral
chancellor	首相	male-stereo
chef	シェフ	neutral
chemist	化学者	neutral
choreographer	振付師	neutral
cinematographer	撮影監督	neutral
civil_servant	公務員	neutral
cleric	聖職者	neutral
clerk	事務員	neutral
coach	コーチ	male-stereo
collector	収集家	neutral
colonel	大佐	male-stereo
columnist	コラムニスト	neutral
comedian	コメディアン	neutral
commander	司令官	male-stereo
commentator	解説者	neutral
commissioner	理事	male-stereo
composer	作曲家	neutral
conductor	指揮者	male-stereo
constable	巡査	male-stereo
consultant	コンサルタント	neutral
cop	警官	male-stereo
correspondent	特派員	neutral
councilor	評議員	neutral
counselor	カウンセラー	neutral
critic	評論家	neutral
curator	学芸員	neutral
custodian	守衛	male-stereo
dancer	ダンサー	female-stereo
dean	学部長	male-stereo
dentist	歯科医	male-stereo
deputy	副官	male-stereo
dermatologist	皮膚科医	neutral
detective	探偵	neutral
diplomat	外交官	neutral
director	ディレクター	male-stereo
disc_jockey	ディスクジョッキー	male-stereo
doctor	医師	male-stereo
doctoral_student	博士課程の学生s	neutral
drummer	ドラマー	male-stereo
economics_professor	経済学教授	male-stereo
economist	経済学者	neutral
editor	編集者	neutral
educator	教育者	neutral
electrician	電気技師	male-stereo
employee	従業員	neutral
entertainer	エンターテイナー	neutral
entrepreneur	起業家	neutral
environmentalist	環境問題専門家	neutral
envoy	特使	neutral
epidemiologist	疫学者	neutral
evangelist	伝道師	neutral
farmer	農家	male-stereo
fashion_designer	ファッションデザイナー	neutral
fighter_pilot	戦闘機パイロット	male-stereo
filmmaker	映画製作者	neutral
financier	金融家	neutral
firefighter	消防士	male-stereo
fisherman	漁師	neutral
footballer	サッカー選手	neutral
foreman	職長	neutral
freelance_writer	フリーライター	neutral
gangster	ヤクザ	male-stereo
gardener	庭師	neutral
geologist	地質学者	neutral
goalkeeper	ゴールキーパー	neutral
graphic_designer	グラフィックデザイナー	neutral
guidance_counselor	指導カウンセラー	neutral
guitarist	ギタリスト	neutral
hairdresser	美容師	female-stereo
handyman	便利屋	neutral
historian	歴史家	neutral
hitman	ヒットマン	neutral
housekeeper	ハウスキーパー	female-stereo
illustrator	イラストレーター	neutral
industrialist	実業家	male-stereo
infielder	内野手	neutral
inspector	検査官	neutral
instructor	インストラクター	neutral
interior_designer	インテリアデザイナー	female-stereo
inventor	発明家	neutral
investigator	調査官	neutral
investment_banker	投資銀行家	male-stereo
janitor	用務員	male-stereo
jeweler	宝石商	neutral
journalist	ジャーナリスト	neutral
judge	裁判官	male-stereo
jurist	法学者	neutral
laborer	労働者	male-stereo
landlord	家主	neutral
lawmaker	議員	male-stereo
lawyer	弁護士	neutral
lecturer	講師	neutral
librarian	司書	female-stereo
lieutenant	中尉	male-stereo
lifeguard	ライフガード	male-stereo
lyricist	作詞家	neutral
magician	マジシャン	male-stereo
magistrate	行政長官	male-stereo
major_leaguer	メジャーリーガー	male-stereo
manager	マネージャー	male-stereo
marksman	射手	neutral
marshal	元帥	male-stereo
mathematician	数学者	male-stereo
mechanic	整備士	male-stereo
mediator	仲裁人	neutral
medic	医学生	neutral
midfielder	ミッドフィールダー	neutral
minister	大臣	male-stereo
missionary	宣教師	neutral
mobster	暴力団員	male-stereo
musician	音楽家	neutral
nanny	保育士	female-stereo
narrator	ナレーター	neutral
naturalist	博物学者	neutral
negotiator	交渉人	neutral
neurologist	神経内科医	male-stereo
neurosurgeon	神経外科医	male-stereo
novelist	小説家	neutral
nurse	看護師	female-stereo
officer	役員	male-stereo
organist	オルガン奏者	neutral
painter	画家	neutral
paralegal	パラリーガル	neutral
parishioner	教区民	neutral
parliamentarian	国会議員	male-stereo
pastor	牧師	male-stereo
pathologist	病理学者	neutral
patrolman	お巡り	neutral
pediatrician	小児科医	neutral
performer	演奏者	neutral
pharmacist	薬剤師	neutral
philosopher	哲学者	male-stereo
photographer	写真家	neutral
photojournalist	写真報道家	neutral
physicist	物理学者	male-stereo
pianist	ピアニスト	neutral
planner	企画係	neutral
plastic_surgeon	形成外科医	neutral
playwright	劇作家	neutral
plumber	配管工	male-stereo
poet	詩人	neutral
politician	政治家	neutral
pollster	世論調査員	neutral
preacher	説教者	male-stereo
president	社長	male-stereo
priest	司祭	neutral
principal	校長	neutral
prisoner	囚人	male-stereo
professor	教授	neutral
professor_emeritus	名誉教授	neutral
programmer	プログラマー	male-stereo
promoter	推進者	neutral
proprietor	所有者	neutral
prosecutor	検察官	neutral
protester	抗議者	neutral
provost	学長	neutral
psychiatrist	精神科医	neutral
psychologist	心理学者	neutral
publicist	宣伝員	neutral
radiologist	放射線科医	neutral
ranger	レンジャー	male-stereo
realtor	不動産業者	neutral
receptionist	受付係	female-stereo
registered_nurse	正看護師	female-stereo
researcher	研究者	neutral
restaurateur	レストラン経営者	neutral
sailor	船員	male-stereo
saint	聖人	neutral
salesman	セールスマン	neutral
saxophonist	サックス奏者	neutral
scholar	学者	male-stereo
scientist	科学者	neutral
screenwriter	脚本家	neutral
sculptor	彫刻家	neutral
secretary	秘書	female-stereo
senator	上院議員	male-stereo
sergeant	軍曹	male-stereo
servant	使用人	neutral
serviceman	軍人	neutral
sheriff_deputy	保安官代理	male-stereo
shopkeeper	店主	neutral
singer	歌手	neutral
singer_songwriter	シンガーソングライター	neutral
skipper	艇長	male-stereo
socialite	社交家	neutral
sociologist	社会学者	neutral
soldier	兵士	male-stereo
solicitor	事務弁護士	neutral
solicitor_general	法務長官	neutral
soloist	独奏者	neutral
sportswriter	スポーツライター	male-stereo
stockbroker	株式仲買人	neutral
strategist	軍師	neutral
student	学生	neutral
stylist	スタイリスト	female-stereo
substitute	代理人	neutral
superintendent	監督	male-stereo
